,stai_1,stai_2,stai_3,stai_4,stai_5,stai_6,stai_7,stai_8,stai_9,stai_10,stai_11,stai_12,stai_13,stai_14,stai_15,stai_16,stai_17,stai_18,stai_19,stai_20
stai_1,1.0,-0.038,0.063,0.027,0.072,0.047,0.078,0.007,0.076,0.043,0.066,0.061,0.067,0.071,0.052,0.07,0.065,0.049,0.082,0.066
stai_2,-0.038,1.0,-0.248,0.064,0.048,0.24,0.019,0.14,0.033,0.165,0.037,0.191,0.02,0.111,0.131,0.119,0.087,0.151,0.117,0.118
stai_3,0.063,-0.248,1.0,-0.388,0.209,0.041,0.251,-0.02,0.165,0.01,0.13,0.064,0.149,0.015,0.142,0.043,0.154,0.041,0.113,0.104
stai_4,0.027,0.064,-0.388,1.0,-0.379,0.045,-0.075,0.163,-0.017,0.158,-0.033,0.106,-0.005,0.091,0.013,0.152,0.01,0.077,0.033,0.118
stai_5,0.072,0.048,0.209,-0.379,1.0,-0.26,0.126,-0.034,0.184,0.019,0.196,0.033,0.137,0.055,0.14,0.017,0.172,0.069,0.152,0.082
stai_6,0.047,0.24,0.041,0.045,-0.26,1.0,-0.382,0.11,-0.0,0.135,-0.002,0.145,0.021,0.108,0.03,0.111,0.04,0.12,0.057,0.066
stai_7,0.078,0.019,0.251,-0.075,0.126,-0.382,1.0,-0.364,0.092,0.017,0.103,0.033,0.142,-0.016,0.125,0.012,0.14,0.02,0.095,0.064
stai_8,0.007,0.14,-0.02,0.163,-0.034,0.11,-0.364,1.0,-0.354,0.07,-0.008,0.134,-0.009,0.115,0.017,0.13,0.024,0.112,0.016,0.095
stai_9,0.076,0.033,0.165,-0.017,0.184,-0.0,0.092,-0.354,1.0,-0.283,0.053,0.033,0.156,-0.002,0.117,0.022,0.144,0.047,0.138,0.043
stai_10,0.043,0.165,0.01,0.158,0.019,0.135,0.017,0.07,-0.283,1.0,-0.374,0.067,0.059,0.086,0.028,0.144,0.034,0.069,0.048,0.15
stai_11,0.066,0.037,0.13,-0.033,0.196,-0.002,0.103,-0.008,0.053,-0.374,1.0,-0.272,-0.033,0.072,0.13,-0.037,0.118,0.089,0.087,0.012
stai_12,0.061,0.191,0.064,0.106,0.033,0.145,0.033,0.134,0.033,0.067,-0.272,1.0,-0.308,0.034,0.063,0.16,0.004,0.157,0.052,0.128
stai_13,0.067,0.02,0.149,-0.005,0.137,0.021,0.142,-0.009,0.156,0.059,-0.033,-0.308,1.0,-0.326,0.037,0.076,0.19,-0.047,0.134,0.044
stai_14,0.071,0.111,0.015,0.091,0.055,0.108,-0.016,0.115,-0.002,0.086,0.072,0.034,-0.326,1.0,-0.334,0.067,0.036,0.152,-0.028,0.135
stai_15,0.052,0.131,0.142,0.013,0.14,0.03,0.125,0.017,0.117,0.028,0.13,0.063,0.037,-0.334,1.0,-0.31,0.062,0.095,0.17,-0.047
stai_16,0.07,0.119,0.043,0.152,0.017,0.111,0.012,0.13,0.022,0.144,-0.037,0.16,0.076,0.067,-0.31,1.0,-0.308,0.008,0.098,0.252
stai_17,0.065,0.087,0.154,0.01,0.172,0.04,0.14,0.024,0.144,0.034,0.118,0.004,0.19,0.036,0.062,-0.308,1.0,-0.302,0.053,0.08
stai_18,0.049,0.151,0.041,0.077,0.069,0.12,0.02,0.112,0.047,0.069,0.089,0.157,-0.047,0.152,0.095,0.008,-0.302,1.0,-0.315,0.013
stai_19,0.082,0.117,0.113,0.033,0.152,0.057,0.095,0.016,0.138,0.048,0.087,0.052,0.134,-0.028,0.17,0.098,0.053,-0.315,1.0,-0.255
stai_20,0.066,0.118,0.104,0.118,0.082,0.066,0.064,0.095,0.043,0.15,0.012,0.128,0.044,0.135,-0.047,0.252,0.08,0.013,-0.255,1.0
