id_persona,comentario,stai_total
P000018,,52
P000028,,50
P000129,,50
P000164,,49
P000188,,50
P000239,,50
P000273,,54
P000281,,48
P000290,,50
P000409,,48
P000449,"Estou um pouco ansioso, mas consigo lidar com a situação.",43
P000511,,50
P000535,,57
P000583,,49
P000635,,54
P000726,,54
P000741,,45
P000742,,54
P000763,"A situação me deixou um pouco ansioso, mas sei que posso lidar.",47
P000766,,55
P000768,,50
P000794,,50
P000797,,48
P000811,,50
P000812,,50
P000821,A sensação de não conseguir ir à farmácia me gera um leve desespero.,59
P000894,A situação atual me gera um pouco de ansiedade sobre o tempo da viagem.,59
P000940,,50
P000988,,48
P000998,Sinto-me ansioso por não conseguir cumprir meu plano de ir à farmácia.,58
P001101,,55
P001107,,50
P001122,,56
P001161,,49
P001170,,53
P001206,,50
P001220,"Estou ansioso, mas consigo lidar com a situação.",48
P001244,,46
P001253,,50
P001341,,49
P001356,,44
P001364,,50
P001386,,57
P001408,"Sinto-me um pouco ansioso, pois isso pode atrasar meus planos.",42
P001427,,44
P001575,,50
P001617,,46
P001620,,54
P001642,Estou um pouco ansioso com a possibilidade de não conseguir ir à farmácia.,54
P001721,"Estou ansioso, pois o tempo extra pode me fazer perder a farmácia.",55
P000004,,48
P000007,,50
P000017,,48
P000019,,50
P000020,,51
P000022,,50
P000024,,52
P000026,A situação me deixa inquieto e um pouco ansioso.,49
P000031,,50
P000041,Sinto uma leve ansiedade pela mudança de rota e a possibilidade de não conseguir fazer a parada planejada.,58
P000044,,50
P000046,,49
P000056,Sinto que a mudança de rota pode comprometer meu tempo.,50
P000070,,54
P000071,,58
P000072,,48
P000103,"A situação me deixa apreensivo, pois não sei se conseguirei cumprir meus planos.",52
P000111,,53
P000112,,49
P000113,,50
P000119,,50
P000122,,48
P000131,,51
P000134,,51
P000135,,55
P000138,,48
P000139,A situação me provoca uma leve ansiedade por causa do atraso.,44
P000141,,51
P000142,,49
P000145,,48
P000153,,48
P000159,,50
P000163,A ansiedade aumenta com a mudança inesperada.,57
P000165,,50
P000168,"Sinto alguma ansiedade, mas consigo me manter calmo.",57
P000169,Sinto uma leve ansiedade sobre o tempo que posso perder.,50
P000173,,50
P000177,,48
P000182,,50
P000184,,50
P000185,,48
P000186,,50
P000189,,51
P000194,,51
P000195,,49
P000208,,53
P000209,,49
P000218,,49
P000223,,49
P000228,,50
P000744,,50
P002880,"Estou um pouco ansioso, mas procuro manter o foco em soluções.",52
P004641,A mudança de rota me deixou apreensivo quanto ao meu planejamento.,51
P006157,,51
P006836,,49
P007878,,57
P008490,,46
P008501,,49
P009417,,49
P009551,,48
P000143,,57
P000170,,49
P000174,"A mudança de rota me deixou frustrado, pois não consigo ir à farmácia.",47
P000224,,53
P000226,,49
P000265,A mudança de rota me deixou um pouco preocupado com o tempo.,52
P000320,"A mudança de rota me deixou bastante ansiosa, pois tenho compromissos a cumprir.",55
P000340,A mudança de rota me deixou preocupado com o tempo para chegar à farmácia.,59
P000347,,51
P000377,,46
P000386,,48
P000388,Sinto uma leve ansiedade devido à mudança inesperada de rota.,64
P000402,,52
P000405,Sinto uma leve ansiedade pela situação inesperada.,60
P000410,"A mudança de rota me deixou um pouco ansioso, mas tento me manter calmo.",60
P000463,,50
P000528,,49
P000599,,49
P000613,,49
P000625,Sinto uma leve ansiedade em relação ao tempo perdido.,48
P000673,,47
P000782,,53
P000813,,49
P000873,,51
P001057,,48
P001061,Sinto uma leve ansiedade por não saber se conseguirei chegar a tempo.,51
P001066,,55
P001115,,50
P001188,,49
P001250,,46
P001264,,50
P001334,,49
P001375,"A mudança de rota me deixa um pouco ansioso, mas estou tentando manter a calma.",54
P001414,,47
P001436,,46
P001440,Sinto uma pressão por não conseguir ir à farmácia a tempo.,58
P001459,,47
P001471,,48
P001518,,50
P001557,,46
P001561,,48
P001593,,52
P001619,,47
P001676,,48
P001692,,48
P001702,,51
P001744,,49
P001767,A mudança inesperada de rota me deixa um pouco nervoso e ansioso.,53
P001795,,52
P001832,,50
P000018,,49
P000028,,48
P000075,,52
P000085,,49
P000136,,51
P000155,,46
P000227,,47
P000270,,51
P000281,,53
P000339,,46
P000363,,53
P000409,,49
P000422,,52
P000423,,42
P000511,,53
P000519,,58
P000535,,48
P000561,,47
P000583,,49
P000633,,49
P000643,,52
P000732,,47
P000733,,49
P000735,,50
P000741,,50
P000742,,49
P000795,,50
P000812,,44
P000821,,52
P000841,,52
P000894,,55
P000940,,57
P000988,,52
P000998,,50
P001001,,49
P001045,,48
P001107,,51
P001116,,52
P001139,,51
P001206,,52
P001230,,44
P001261,,52
P001314,,53
P001315,,49
P001356,,52
P001382,,52
P001402,,49
P001408,,45
P001433,,50
P001456,,54
P000001,,48
P000008,,50
P000020,,50
P000027,,50
P000029,,51
P000037,,47
P000043,,50
P000044,,51
P000047,,49
P000050,,53
P000059,,50
P000068,,50
P000073,,48
P000076,,45
P000080,,50
P000081,,45
P000083,,48
P000084,,51
P000094,,50
P000096,,53
P000102,,53
P000103,,51
P000108,,50
P000110,,48
P000111,,52
P000117,,50
P000119,,50
P000122,,48
P000126,,52
P000128,,49
P000130,,47
P000141,,48
P000142,,54
P000145,,50
P000149,,49
P000151,,50
P000153,,49
P000168,,59
P000169,,49
P000183,,50
P000190,,47
P000196,,48
P000199,,51
P000206,,48
P000210,,50
P000214,,49
P000216,,51
P000222,,55
P000223,,55
P000229,,47
P001221,,59
P002880,,50
P003151,,54
P005740,,52
P006220,,48
P006836,,55
P008490,,48
P008875,,53
P009313,,48
P009640,,53
P010050,,58
P010593,,52
P000100,,49
P000137,,52
P000162,,50
P000174,,45
P000226,,48
P000233,,53
P000265,,49
P000297,,49
P000361,,56
P000377,,55
P000388,,52
P000405,,53
P000420,,53
P000447,,51
P000528,,51
P000585,,52
P000623,,53
P000677,,48
P000688,,47
P000711,,50
P000854,,50
P000883,,51
P000892,,49
P000916,,44
P000967,,49
P001057,,51
P001083,,49
P001109,,54
P001135,,57
P001229,,52
P001260,,57
P001264,,50
P001268,,47
P001285,,50
P001286,,49
P001306,,49
P001312,,43
P001372,,50
P001384,,53
