temperature,lifestyle,n,stai_mean,stai_sd,stai_min,stai_max
0.6,ativo,434,50.17741935483871,3.740835980495971,39,60
0.6,moderado,2405,49.99376299376299,3.168119744294299,39,64
0.6,muito ativo,13,51.15384615384615,3.1844977062365176,46,57
0.6,sedentário,332,50.204819277108435,3.7674357155184253,41,64
0.75,ativo,413,49.937046004842614,3.2352590254059486,39,60
0.75,moderado,2243,49.843067320552834,2.6045283848365974,40,61
0.75,muito ativo,12,52.5,3.68041499636312,48,59
0.75,sedentário,332,50.43674698795181,3.2784528104048296,43,61
0.9,ativo,393,50.038167938931295,3.2804412194358163,42,59
0.9,moderado,2273,49.96480422349318,2.874669633336538,40,61
0.9,muito ativo,10,50.3,4.547282460742656,42,58
0.9,sedentário,324,50.324074074074076,3.342646947209814,41,62
