id_persona,temperature,situacao,lifestyle,stai_total,stai_1,stai_2,stai_3,stai_4,stai_5,stai_6,stai_7,stai_8,stai_9,stai_10,stai_11,stai_12,stai_13,stai_14,stai_15,stai_16,stai_17,stai_18,stai_19,stai_20
P001003,0.9,padrao_1,moderado,47,3,3,2,3,2,3,2,3,2,2,3,2,3,2,3,2,3,2,3,2
P004182,0.9,padrao_1,moderado,48,3,3,2,2,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
P000679,0.9,padrao_1,moderado,49,3,3,2,2,3,3,2,2,3,3,2,2,4,3,3,2,3,2,4,3
P006935,0.9,padrao_1,ativo,53,3,3,4,2,3,2,3,4,2,3,1,3,2,4,3,2,4,3,2,3
P002352,0.9,padrao_1,moderado,51,3,3,2,4,3,4,3,2,2,3,3,4,2,3,3,4,3,2,3,4
P005997,0.9,padrao_1,muito ativo,58,3,2,4,3,2,3,4,2,3,1,2,3,4,2,3,4,1,3,2,4
P000203,0.9,padrao_1,moderado,48,3,2,3,2,3,2,4,3,2,3,2,3,2,3,2,3,3,2,4,2
P007970,0.9,padrao_1,moderado,49,3,3,4,2,4,3,4,3,2,3,4,3,4,2,3,2,3,3,4,3
P002862,0.9,padrao_1,moderado,47,3,2,3,4,3,2,4,3,2,3,4,3,2,3,4,3,2,3,4,3
P008150,0.9,padrao_1,moderado,51,2,3,3,2,2,3,3,2,2,3,2,3,2,3,2,3,2,3,3,2
P008778,0.9,padrao_1,sedentário,53,3,3,4,3,2,4,2,3,3,4,2,3,3,4,2,3,2,3,4,3
P000507,0.9,padrao_1,moderado,49,3,4,3,2,3,2,3,4,3,2,3,4,3,2,3,3,4,2,3,4
P005972,0.9,padrao_1,ativo,52,3,3,2,4,3,3,2,4,3,3,2,3,4,3,2,3,2,4,3,3
P004819,0.9,padrao_1,moderado,52,3,2,3,3,2,3,2,3,2,3,2,2,3,3,2,3,2,3,2,3
P001107,0.9,padrao_1,ativo,49,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
P006512,0.9,padrao_1,moderado,53,3,2,3,2,4,3,3,2,3,2,4,3,2,3,3,2,3,4,2,3
P005561,0.9,padrao_1,moderado,46,3,3,2,3,2,3,2,3,2,3,2,3,1,2,3,2,3,2,3,2
P009690,0.9,padrao_1,moderado,49,3,3,2,3,2,3,2,3,2,3,2,3,2,1,3,2,3,3,2,3
P006428,0.9,padrao_1,moderado,50,3,3,2,4,3,2,3,4,2,3,2,3,4,2,3,4,3,3,2,4
P005861,0.9,padrao_1,moderado,54,3,3,4,2,3,3,4,2,3,3,2,3,4,2,3,3,4,2,3,3
P005393,0.9,padrao_1,moderado,48,3,3,2,3,2,3,2,3,2,3,2,3,2,3,3,2,3,2,3,2
P009152,0.9,padrao_1,moderado,41,3,4,2,3,4,3,2,3,2,3,4,3,2,3,4,3,2,3,4,3
P009145,0.9,padrao_1,ativo,50,3,4,3,2,4,3,4,2,3,2,3,4,2,3,2,4,3,3,4,3
P009368,0.9,padrao_1,moderado,45,3,3,2,2,3,2,2,3,3,2,3,2,3,2,3,2,3,2,3,2
P004061,0.9,padrao_1,moderado,44,3,2,3,2,4,3,2,3,2,4,3,2,3,2,4,3,2,3,2,3
P009157,0.9,padrao_1,moderado,46,3,3,2,3,3,2,2,3,3,2,3,2,3,2,2,3,3,2,3,2
P007174,0.9,padrao_1,moderado,53,3,3,2,3,4,2,3,2,4,3,2,3,3,2,3,2,3,4,2,3
P004766,0.9,padrao_1,moderado,49,3,2,3,2,4,2,3,2,4,3,3,2,4,2,3,2,3,2,4,3
P009893,0.9,padrao_1,moderado,48,3,3,2,3,2,3,2,4,3,2,3,2,3,3,2,3,2,3,4,3
P000139,0.9,padrao_1,moderado,52,3,2,3,2,4,3,3,2,3,2,4,3,3,2,4,2,3,3,2,4
P004220,0.9,padrao_1,moderado,49,3,3,4,3,3,2,3,3,3,2,4,3,3,2,3,3,3,2,3,3
P004279,0.9,padrao_1,moderado,49,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2
P006167,0.9,padrao_1,moderado,50,3,3,2,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,2,3
P000824,0.9,padrao_1,moderado,49,3,3,2,3,2,3,2,3,2,3,2,3,2,2,3,3,2,4,2,3
P001219,0.9,padrao_1,moderado,48,3,3,2,2,3,3,2,2,3,2,3,3,2,4,2,3,3,2,4,2
P005269,0.9,padrao_1,ativo,50,3,3,2,3,3,2,3,2,3,2,3,2,3,3,2,3,3,2,3,3
P003724,0.9,padrao_1,moderado,49,3,3,2,3,2,3,2,2,3,3,2,3,2,2,2,3,3,2,3,2
P002804,0.9,padrao_1,moderado,48,3,3,3,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,3,2
P001667,0.9,padrao_1,moderado,51,3,3,2,3,2,3,2,2,3,2,4,3,3,2,3,2,3,4,3,2
P010390,0.9,padrao_1,ativo,55,3,4,3,2,3,3,4,2,3,2,3,4,3,2,3,2,4,3,2,3
P009583,0.9,padrao_1,moderado,47,3,2,3,2,3,2,2,3,2,3,2,3,2,3,2,3,2,3,3,2
P000929,0.9,padrao_1,moderado,51,3,4,3,3,2,4,3,3,2,4,2,3,3,4,2,3,3,2,4,3
P003944,0.9,padrao_1,moderado,50,3,2,3,3,2,3,2,3,3,2,3,2,3,2,3,2,3,2,3,2
P004160,0.9,padrao_1,moderado,48,3,3,2,2,3,2,3,2,3,2,3,2,3,2,3,2,3,1,2,3
P005731,0.9,padrao_1,ativo,50,3,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3,2,3
